group	label	ns	tau	cov	ru	mi	s
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.257	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.258	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.259	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.260	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.261	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.262	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.263	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.264	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.265	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.266	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.267	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.268	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.269	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.270	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.271	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.272	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.273	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.274	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.275	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.276	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.277	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.278	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.279	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.280	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.281	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.282	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.283	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.284	0.605	11.622	1.345	11.700
